"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.061391125E0,1.856140137E-2,-4.119433594E-1,9.782756653E0,9.791443693E0
1.071422125E0,4.939727783E-3,-4.083508301E-1,9.776020660E0,9.784546732E0
1.081454125E0,-2.993774414E-2,-4.188290405E-1,9.848020935E0,9.856968620E0
1.091485125E0,-2.215393066E-2,-4.164340210E-1,9.896969147E0,9.905751177E0
1.101517125E0,1.916015625E-2,-3.929328918E-1,9.883946228E0,9.891772157E0
1.111548125E0,3.397933960E-2,-4.043092346E-1,9.839788055E0,9.848149548E0
1.121580125E0,4.490661621E-4,-3.959266663E-1,9.884544983E0,9.892471261E0
1.131611125E0,1.047821045E-3,-4.032614136E-1,9.970166931E0,9.978318972E0
1.141643125E0,5.538482666E-2,-4.239184570E-1,9.905800781E0,9.915022111E0
1.151674125E0,8.352630615E-2,-4.141886902E-1,9.753717041E0,9.762864591E0
1.161706125E0,1.631607056E-2,-4.126918030E-1,9.717492371E0,9.726265404E0
1.171737125E0,-4.670288086E-2,-3.969744873E-1,9.763596497E0,9.771774990E0
1.181769125E0,-4.415817261E-2,-4.087998962E-1,9.764195251E0,9.772848930E0
1.191800125E0,6.586303711E-3,-4.152365112E-1,9.797126770E0,9.805924622E0
1.201832125E0,1.586700439E-2,-4.370910645E-1,9.857750702E0,9.867448974E0
1.211864125E0,2.694396973E-2,-4.207749939E-1,9.904752960E0,9.913723255E0
1.221896083E0,5.014572144E-2,-4.206253052E-1,9.921817474E0,9.930856068E0
1.231928083E0,5.224136353E-2,-4.182302856E-1,9.899813232E0,9.908781346E0
1.241959083E0,3.397933960E-2,-3.984713745E-1,9.842931519E0,9.851052477E0
1.251991083E0,-1.511856079E-2,-3.935316467E-1,9.812544708E0,9.820444459E0
1.262022083E0,-3.652404785E-2,-3.640429688E-1,9.811796265E0,9.818615342E0
1.272054083E0,-4.505630493E-2,-3.544628906E-1,9.831405487E0,9.837896516E0
1.282085083E0,-5.313949585E-2,-3.546125793E-1,9.856852570E0,9.863372469E0
1.292117083E0,-3.203338623E-2,-3.481759644E-1,9.905651093E0,9.911820025E0
1.302148083E0,-1.137634277E-2,-3.568579102E-1,9.920320587E0,9.926743552E0
1.312180083E0,-1.362167358E-2,-3.698808289E-1,9.917027435E0,9.923932211E0
1.322211083E0,-4.939727783E-3,-3.781137085E-1,9.900561676E0,9.907780573E0
1.332243083E0,2.694396973E-3,-3.628454590E-1,9.879605255E0,9.886266438E0
1.342275083E0,8.681945801E-3,-3.909869385E-1,9.844727783E0,9.852492643E0
1.352306083E0,2.020797729E-2,-3.899391174E-1,9.847422180E0,9.855160297E0
1.362338083E0,2.065704346E-2,-3.992198181E-1,9.827812958E0,9.835939747E0
1.372369083E0,3.353027344E-2,-4.099974060E-1,9.820777588E0,9.829389329E0
1.382401083E0,4.116439819E-2,-4.171824646E-1,9.838889923E0,9.847816542E0
1.392432083E0,4.011657715E-2,-4.269122314E-1,9.862540741E0,9.871857640E0
1.402464083E0,3.457809448E-2,-4.212240601E-1,9.898765411E0,9.907783911E0
1.412495083E0,4.445755005E-2,-4.116439819E-1,9.911488953E0,9.920133089E0
1.422527083E0,4.909790039E-2,-3.987707520E-1,9.898166656E0,9.906317776E0
1.432558083E0,2.724334717E-2,-3.772155762E-1,9.797875214E0,9.805171722E0
1.442590083E0,8.232879639E-3,-3.632945251E-1,9.767638092E0,9.774395357E0
1.452621083E0,-1.362167358E-2,-3.471281433E-1,9.868677979E0,9.874790557E0
1.462653083E0,-1.451980591E-2,-3.351530457E-1,9.771679688E0,9.777436387E0
1.472685083E0,-3.263214111E-2,-3.218307495E-1,9.742789764E0,9.748158405E0
1.482716083E0,-5.972579956E-2,-3.291654968E-1,9.833351440E0,9.839040484E0
1.492748083E0,-2.200424194E-2,-3.335064697E-1,9.867929535E0,9.873588206E0
1.502779083E0,2.514770508E-2,-3.421884155E-1,9.862091675E0,9.868058447E0
1.512811083E0,4.370910645E-2,-3.526666260E-1,9.853409729E0,9.859815796E0
1.522842083E0,1.571731567E-2,-3.668870544E-1,9.884694672E0,9.891513630E0
1.532874083E0,1.002914429E-2,-3.800596619E-1,9.903405762E0,9.910700864E0
1.542905083E0,2.275268555E-2,-3.902384949E-1,9.912985840E0,9.920690098E0
1.552937083E0,2.020797729E-2,-3.927832031E-1,9.887987823E0,9.895806698E0
1.562968083E0,1.526824951E-2,-4.093986511E-1,9.876162415E0,9.884656009E0
1.573000083E0,1.691482544E-2,-3.870950317E-1,9.866732025E0,9.874336916E0
1.583031083E0,1.451980591E-2,-3.893403625E-1,9.843679962E0,9.851387310E0
1.593063083E0,1.317260742E-2,-3.899391174E-1,9.834698639E0,9.842434828E0
1.603095083E0,1.631607056E-2,-3.838018799E-1,9.845027161E0,9.852518962E0
1.613126083E0,4.266128540E-2,-3.900888062E-1,9.849966888E0,9.857780529E0
1.623158083E0,4.805007935E-2,-3.734733582E-1,9.850565643E0,9.857760124E0
1.633189083E0,6.556365967E-2,-3.591032410E-1,9.845176849E0,9.851941988E0
1.643221083E0,5.388793945E-2,-3.704795837E-1,9.850116577E0,9.857228597E0
1.653252083E0,4.251159668E-2,-3.775149536E-1,9.823322296E0,9.830665578E0
1.663284083E0,2.709365845E-2,-3.538641357E-1,9.820328522E0,9.826739346E0
1.673315083E0,8.981323242E-3,-3.754193115E-1,9.822723541E0,9.829899190E0
1.683347083E0,1.541793823E-2,-3.827540588E-1,9.835297394E0,9.842754351E0
1.693378083E0,1.751358032E-2,-3.784130859E-1,9.847571869E0,9.854855397E0
1.703410083E0,3.592529297E-2,-3.550616455E-1,9.864337006E0,9.870790442E0
1.713441083E0,1.766326904E-2,-3.611988831E-1,9.877060547E0,9.883678550E0
1.723473083E0,1.766326904E-2,-3.555107117E-1,9.864037628E0,9.870457851E0
1.733505083E0,9.879455566E-3,-3.730242920E-1,9.859397278E0,9.866456274E0
1.743536083E0,-2.993774414E-3,-3.797602844E-1,9.865534515E0,9.872841441E0
1.753568083E0,1.047821045E-3,-3.766168213E-1,9.863139496E0,9.870327352E0
1.763599083E0,2.095642090E-3,-3.698808289E-1,9.839788055E0,9.846737795E0
1.773631083E0,-2.095642090E-3,-3.827540588E-1,9.846524048E0,9.853960670E0
1.783662083E0,2.529739380E-2,-3.818559265E-1,9.851763153E0,9.859193229E0
1.793694083E0,1.437011719E-2,-3.788621521E-1,9.860594788E0,9.867880856E0
1.803725083E0,2.155517578E-2,-3.823049927E-1,9.869127045E0,9.876552554E0
1.813757083E0,4.056564331E-2,-3.854484558E-1,9.862540741E0,9.870153289E0
1.823788083E0,4.745132446E-2,-3.917353821E-1,9.869875488E0,9.877760394E0
1.833820083E0,4.191284180E-2,-3.941304016E-1,9.861043854E0,9.869006097E0
1.843851083E0,5.014572144E-2,-3.996688843E-1,9.855804749E0,9.864032494E0
1.853883083E0,5.583389282E-2,-3.984713745E-1,9.847122803E0,9.855339890E0
1.863915083E0,4.251159668E-2,-3.791615295E-1,9.843380585E0,9.850772154E0
1.873946083E0,1.960922241E-2,-3.841012573E-1,9.812844086E0,9.820378167E0
1.883978083E0,8.382568359E-3,-3.873944092E-1,9.821376343E0,9.829017141E0
1.894009083E0,1.197509766E-2,-3.800596619E-1,9.888287201E0,9.895595612E0
1.904041083E0,1.182540894E-2,-3.785627747E-1,9.910441132E0,9.917675788E0
1.914072083E0,3.008743286E-2,-3.638932800E-1,9.865235138E0,9.871990068E0
1.924104083E0,2.380050659E-2,-3.391946411E-1,9.802814941E0,9.808710427E0
1.934135083E0,-1.960922241E-2,-3.376977539E-1,9.787846069E0,9.793689548E0
1.944167083E0,-3.787124634E-2,-3.460803223E-1,9.821975098E0,9.828143296E0
1.954198083E0,-3.966751099E-2,-3.529660034E-1,9.882299652E0,9.888680646E0
1.964230083E0,8.681945801E-3,-3.793112183E-1,9.880653076E0,9.887934951E0
1.974261083E0,2.844085693E-2,-3.731739807E-1,9.826465759E0,9.833590241E0
1.984293083E0,6.137237549E-3,-3.725752258E-1,9.873018951E0,9.880048238E0
1.994325083E0,3.592529297E-3,-3.842509460E-1,9.952503662E0,9.959919219E0
2.004356083E0,2.739303589E-2,-3.974235535E-1,9.962083740E0,9.970045552E0
2.014388083E0,8.442443848E-2,-3.941304016E-1,9.852810974E0,9.861052193E0
2.024419083E0,5.104385376E-2,-4.068539429E-1,9.780211945E0,9.788803874E0
2.034451083E0,-1.930984497E-2,-3.838018799E-1,9.742640076E0,9.750216018E0
2.044482083E0,-3.832031250E-2,-3.836521912E-1,9.757309570E0,9.764924347E0
2.054514083E0,-1.047821045E-3,-3.965254211E-1,9.760003967E0,9.768055638E0
2.064545083E0,1.377136230E-2,-4.050576782E-1,9.813293152E0,9.821658916E0
2.074577083E0,5.269042969E-2,-3.884422302E-1,9.896370392E0,9.904130986E0
2.084608083E0,7.274871826E-2,-4.144880676E-1,9.929152222E0,9.938066038E0
2.094640083E0,8.487350464E-2,-3.999682617E-1,9.956994324E0,9.965385797E0
2.104671083E0,6.122268677E-2,-3.974235535E-1,9.932445374E0,9.940581713E0
2.114703083E0,-2.993774414E-4,-3.959266663E-1,9.870324554E0,9.878262237E0
2.124734083E0,-2.754272461E-2,-3.829037476E-1,9.836644592E0,9.844132807E0
2.134766083E0,-4.879852295E-2,-3.620970154E-1,9.814041595E0,9.820840493E0
2.144798083E0,-5.538482666E-2,-3.390449524E-1,9.838889923E0,9.844885671E0
