"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.775968208E0,5.078938293E-1,3.339555359E-1,9.866582336E0,9.885288536E0
1.786000208E0,4.939727783E-1,3.333567810E-1,9.838889923E0,9.856920958E0
1.796031208E0,4.754113770E-1,3.225791931E-1,9.851164398E0,9.867903187E0
1.806062208E0,4.584965515E-1,3.164419556E-1,9.833201752E0,9.848970062E0
1.816093208E0,4.680766296E-1,3.329077148E-1,9.835297394E0,9.852055527E0
1.826124208E0,4.930746460E-1,3.567082214E-1,9.851912842E0,9.870691465E0
1.836155208E0,5.038522339E-1,3.716770935E-1,9.860295410E0,9.880153668E0
1.846186208E0,5.080435181E-1,3.823049927E-1,9.875713348E0,9.896159834E0
1.856217208E0,4.926255798E-1,3.800596619E-1,9.885742493E0,9.905303122E0
1.866248208E0,4.816983032E-1,3.754193115E-1,9.845027161E0,9.863951171E0
1.876279208E0,4.441264343E-1,3.827540588E-1,9.802964630E0,9.820481887E0
1.886310208E0,4.251159668E-1,3.694317627E-1,9.795779572E0,9.811957033E0
1.896341208E0,4.454736328E-1,3.626957703E-1,9.793234863E0,9.810068505E0
1.906372208E0,4.734654236E-1,3.477268982E-1,9.796228638E0,9.813825912E0
1.916403208E0,4.855902100E-1,3.314108276E-1,9.797276459E0,9.814899745E0
1.926434208E0,5.108876038E-1,3.135978699E-1,9.794282684E0,9.812610410E0
1.936465208E0,5.167254639E-1,2.977308655E-1,9.831405487E0,9.849476266E0
1.946496208E0,5.316943359E-1,2.986289978E-1,9.858050079E0,9.876893718E0
1.956527208E0,5.309458923E-1,2.932402039E-1,9.877509613E0,9.896114870E0
1.966558208E0,5.093907166E-1,2.966830444E-1,9.881102142E0,9.898670581E0
1.976589208E0,4.538562012E-1,3.195854187E-1,9.885742493E0,9.901314303E0
1.986620208E0,4.399351501E-1,3.385958862E-1,9.868528290E0,9.884130752E0
1.996651208E0,4.402345276E-1,3.733236694E-1,9.879904633E0,9.896751616E0
2.006682208E0,4.399351501E-1,3.929328918E-1,9.892478485E0,9.910048929E0
2.016713208E0,4.514611816E-1,4.013154602E-1,9.861642609E0,9.880124809E0
2.026744208E0,4.526586914E-1,4.105961609E-1,9.815239105E0,9.834246681E0
2.036776208E0,4.278103638E-1,3.953279114E-1,9.808054047E0,9.825336129E0
2.046807208E0,4.267625427E-1,3.724255371E-1,9.810748444E0,9.827085635E0
2.056838208E0,4.275109863E-1,3.661386108E-1,9.839638367E0,9.855724545E0
2.066869208E0,4.330494690E-1,3.511697388E-1,9.866282959E0,9.882023652E0
2.076900208E0,4.441264343E-1,3.712280273E-1,9.829309845E0,9.846338942E0
2.086931208E0,4.468208313E-1,3.667373657E-1,9.752519531E0,9.769635733E0
2.096962208E0,4.475692749E-1,3.432362366E-1,9.815538483E0,9.831730523E0
2.106993208E0,4.983137512E-1,3.399430847E-1,9.945019226E0,9.963296909E0
2.117024208E0,5.782475281E-1,3.339555359E-1,1.001686981E1,1.003910242E1
2.127055208E0,5.846841431E-1,3.192860413E-1,9.881850586E0,9.904280394E0
2.137086208E0,4.992118835E-1,3.240760803E-1,9.770033112E0,9.788145116E0
2.147117208E0,4.179309082E-1,3.222798157E-1,9.726174316E0,9.740482399E0
2.157148208E0,3.891906738E-1,3.062631226E-1,9.781409454E0,9.793938809E0
2.167179208E0,4.092489624E-1,2.996768188E-1,9.848020935E0,9.861075360E0
2.177210208E0,4.487667847E-1,3.008743286E-1,9.879305878E0,9.894069012E0
2.187241208E0,5.013075256E-1,3.344046021E-1,9.839189301E0,9.857625564E0
2.197272208E0,4.755610657E-1,3.629951477E-1,9.787097626E0,9.805366069E0
2.207303208E0,4.628375244E-1,3.823049927E-1,9.797875214E0,9.816248488E0
2.217334208E0,4.442761230E-1,4.079017639E-1,9.799671478E0,9.818214003E0
2.227365208E0,4.092489624E-1,4.183799744E-1,9.832602997E0,9.850005493E0
2.237396208E0,4.041595459E-1,4.324507141E-1,9.850266266E0,9.868034458E0
2.247427208E0,4.288581848E-1,4.631369019E-1,9.873617706E0,9.893772877E0
2.257458208E0,4.896318054E-1,4.870870972E-1,9.908794556E0,9.932834575E0
2.267489208E0,5.186714172E-1,4.626878357E-1,9.924062805E0,9.948372864E0
2.277521208E0,5.316943359E-1,4.206253052E-1,9.922715607E0,9.945848859E0
2.287552208E0,5.072950745E-1,3.628454590E-1,9.885293427E0,9.904949836E0
2.297583208E0,4.653822327E-1,3.086581421E-1,9.868677979E0,9.884465363E0
2.307614208E0,4.561015320E-1,2.627037048E-1,9.869576111E0,9.883601290E0
2.317645208E0,4.504133606E-1,2.589614868E-1,9.834848328E0,9.848562071E0
2.327676208E0,4.529580688E-1,2.465373230E-1,9.831704865E0,9.845220780E0
2.337707208E0,4.746629333E-1,2.704875183E-1,9.820478210E0,9.835662697E0
2.347738208E0,4.896318054E-1,2.743794250E-1,9.804162140E0,9.820214796E0
2.357769208E0,5.143304443E-1,3.055146790E-1,9.804162140E0,9.822396362E0
2.367800208E0,5.218148804E-1,3.245251465E-1,9.808652802E0,9.827882637E0
2.377831208E0,5.044509888E-1,3.510200500E-1,9.843679962E0,9.862845486E0
