"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.335276000E0,1.275347900E0,9.280700684E-3,9.857301636E0,9.939466481E0
1.345307000E0,1.251098328E0,1.556762695E-2,9.815987549E0,9.895408073E0
1.355339000E0,1.233884125E0,1.886077881E-2,9.764195251E0,9.841866422E0
1.365370000E0,1.269060974E0,-2.335144043E-2,9.805958405E0,9.887764220E0
1.375402000E0,1.302890625E0,-2.664459229E-2,9.860744476E0,9.946482571E0
1.385433000E0,1.336121521E0,-2.275268555E-2,9.845326538E0,9.935602299E0
1.395465000E0,1.330882416E0,-1.332229614E-2,9.755812683E0,9.846182336E0
1.405496000E0,1.303040314E0,-9.430389404E-3,9.705966339E0,9.793047818E0
1.415528000E0,1.287322998E0,1.496887207E-3,9.762848053E0,9.847355221E0
1.425560000E0,1.296603699E0,-3.742218018E-3,9.794432373E0,9.879883636E0
1.435591000E0,1.310375061E0,-2.439926147E-2,9.781559143E0,9.868970432E0
1.445623000E0,1.316063232E0,-1.676513672E-2,9.745933228E0,9.834404811E0
1.455654000E0,1.289119263E0,-3.966751099E-2,9.739346924E0,9.824371760E0
1.465686000E0,1.270857239E0,-6.256988525E-2,9.767189026E0,9.849719518E0
1.475717000E0,1.276844788E0,-5.807922363E-2,9.789193268E0,9.872284976E0
1.485749000E0,1.262175293E0,-8.412506104E-2,9.775122528E0,9.856631470E0
1.495780000E0,1.262025604E0,-8.577163696E-2,9.773925018E0,9.855438887E0
1.505812000E0,1.249002686E0,-9.205856323E-2,9.790241089E0,9.870020419E0
1.515843000E0,1.254990234E0,-9.684860229E-2,9.803713074E0,9.884187886E0
1.525875000E0,1.273252258E0,-6.795867920E-2,9.784852295E0,9.867579446E0
1.535906000E0,1.274898834E0,-7.424560547E-2,9.760602722E0,9.843792204E0
1.545938000E0,1.269510040E0,-7.634124756E-2,9.773775330E0,9.856174102E0
1.555969000E0,1.281335449E0,-6.047424316E-2,9.777517548E0,9.861304531E0
1.566001000E0,1.288520508E0,-5.643264771E-2,9.772577820E0,9.857319463E0
1.576032000E0,1.277593231E0,-2.020797729E-2,9.774374084E0,9.857537297E0
1.586064000E0,1.263821869E0,6.436614990E-3,9.756112061E0,9.837632321E0
1.596095000E0,1.259480896E0,9.729766846E-3,9.789342957E0,9.870036591E0
1.606127000E0,1.274599457E0,2.380050659E-2,9.819580078E0,9.901985819E0
1.616158000E0,1.300196228E0,3.158432007E-2,9.831405487E0,9.917058115E0
1.626190000E0,1.299298096E0,1.107696533E-2,9.836345215E0,9.921793458E0
1.636222000E0,1.303788757E0,1.751358032E-2,9.811646576E0,9.897907879E0
1.646253000E0,1.296903076E0,7.484436035E-3,9.785151672E0,9.870724738E0
1.656285000E0,1.264869690E0,-2.185455322E-2,9.804162140E0,9.885442237E0
1.666316000E0,1.270258484E0,-4.505630493E-2,9.810299377E0,9.892298042E0
1.676348000E0,1.271156616E0,-3.847000122E-2,9.757758636E0,9.840283161E0
1.686379000E0,1.247655487E0,-4.176315308E-2,9.679022369E0,9.759193737E0
1.696411000E0,1.246607666E0,-6.481521606E-2,9.714797974E0,9.794668517E0
1.706442000E0,1.270108795E0,-1.405577087E-1,9.850266266E0,9.932808179E0
1.716474000E0,1.364562378E0,-1.465452576E-1,9.882748718E0,9.977586292E0
1.726505000E0,1.388063507E0,-1.414558411E-1,9.829160156E0,9.927694568E0
1.736537000E0,1.363065491E0,-1.431024170E-1,9.795779572E0,9.891194228E0
1.746568000E0,1.337768097E0,-1.026864624E-1,9.729168091E0,9.821246343E0
1.756600000E0,1.301842804E0,-8.786727905E-2,9.712702332E0,9.799954180E0
1.766631000E0,1.295256500E0,-3.188369751E-2,9.759405212E0,9.845034082E0
1.776663000E0,1.280287628E0,3.008743286E-2,9.775421906E0,9.858951014E0
1.786694000E0,1.277144165E0,5.792953491E-2,9.739047546E0,9.822601497E0
1.796726000E0,1.299747162E0,7.768844604E-2,9.742640076E0,9.829263137E0
1.806757000E0,1.343456268E0,9.639953613E-2,9.747430115E0,9.840048854E0
1.816789000E0,1.339714050E0,7.888595581E-2,9.796528015E0,9.888023962E0
1.826820000E0,1.313668213E0,5.059478760E-2,9.844727783E0,9.932117052E0
1.836852000E0,1.285227356E0,7.634124756E-3,9.854607239E0,9.938065781E0
1.846884000E0,1.268761597E0,-3.682342529E-2,9.844578094E0,9.926068195E0
1.856915000E0,1.269360352E0,-7.738906860E-2,9.858050079E0,9.939739239E0
1.866947000E0,1.282982025E0,-9.595046997E-2,9.838440857E0,9.922205796E0
1.876978000E0,1.296454010E0,-8.562194824E-2,9.784403229E0,9.870292329E0
1.887010000E0,1.313219147E0,-8.128097534E-2,9.734856262E0,9.823368952E0
1.897041000E0,1.308728485E0,-8.607101440E-2,9.717043304E0,9.805157268E0
1.907073000E0,1.301693115E0,-8.173004150E-2,9.745184784E0,9.832075632E0
1.917104000E0,1.304537201E0,-1.052311707E-1,9.753267975E0,9.840687328E0
1.927135542E0,1.301693115E0,-1.101708984E-1,9.758207703E0,9.845260797E0
1.937166542E0,1.295106812E0,-1.209484863E-1,9.771979065E0,9.858169457E0
1.947198542E0,1.292711792E0,-1.309776306E-1,9.767338715E0,9.853383403E0
1.957229542E0,1.291663971E0,-1.276844788E-1,9.783355408E0,9.869080108E0
1.967261542E0,1.286125488E0,-9.864486694E-2,9.727521515E0,9.812671624E0
1.977292542E0,1.286275177E0,-5.897735596E-2,9.783505096E0,9.867874854E0
1.987324542E0,1.292861481E0,-1.930984497E-2,9.817933502E0,9.902710838E0
1.997355542E0,1.273252258E0,2.529739380E-2,9.733059998E0,9.816020996E0
2.007387542E0,1.279688873E0,1.781295776E-2,9.716145172E0,9.800071322E0
2.017418542E0,1.271605682E0,2.245330811E-2,9.701176300E0,9.784186566E0
2.027450542E0,1.241218872E0,1.152603149E-2,9.713450775E0,9.792440099E0
2.037482542E0,1.246607666E0,-1.796264648E-2,9.782008209E0,9.861137761E0
2.047513542E0,1.268462219E0,-6.062393188E-2,9.883347473E0,9.964598785E0
2.057545542E0,1.328487396E0,-4.894821167E-2,9.886940002E0,9.975913858E0
2.067576542E0,1.345851288E0,-3.338058472E-2,9.820328522E0,9.912178480E0
2.077608542E0,1.317709808E0,-1.332229614E-2,9.766739960E0,9.855239523E0
2.087639542E0,1.282982025E0,1.407073975E-2,9.722432098E0,9.806728648E0
2.097671542E0,1.281634827E0,3.098556519E-2,9.720935211E0,9.805107308E0
2.107702542E0,1.288969574E0,2.963836670E-2,9.768386536E0,9.853105932E0
2.117734542E0,1.321452026E0,2.155517578E-2,9.783954163E0,9.872814145E0
2.127765542E0,1.327888641E0,3.742218018E-3,9.754016418E0,9.843989971E0
2.137797542E0,1.306632843E0,-1.901046753E-2,9.760453033E0,9.847542546E0
2.147828542E0,1.294657745E0,-5.718109131E-2,9.777517548E0,9.863024777E0
2.157860542E0,1.298399963E0,-7.649093628E-2,9.794582062E0,9.880563298E0
2.167891542E0,1.283730469E0,-1.002914429E-1,9.786049805E0,9.870399843E0
2.177923542E0,1.267713776E0,-1.178050232E-1,9.753267975E0,9.836016085E0
2.187954542E0,1.247206421E0,-1.074765015E-1,9.771529999E0,9.851389423E0
2.197986542E0,1.250649261E0,-9.415420532E-2,9.787846069E0,9.867873087E0
2.208017542E0,1.257534943E0,-6.765930176E-2,9.791887665E0,9.872539489E0
2.218049542E0,1.274749146E0,-5.418731689E-2,9.768536224E0,9.851508596E0
2.228080542E0,1.281784515E0,-2.514770508E-2,9.795330505E0,9.878871578E0
2.238112542E0,1.279389496E0,-1.676513672E-2,9.788594513E0,9.871864114E0
2.248143542E0,1.268312531E0,1.886077881E-2,9.753567352E0,9.835702746E0
2.258175542E0,1.242117004E0,2.140548706E-2,9.745484161E0,9.824346003E0
2.268207542E0,1.229992218E0,3.682342529E-2,9.778265991E0,9.855390536E0
2.278238542E0,1.254990234E0,4.311035156E-2,9.821526031E0,9.901476283E0
2.288270542E0,1.279988251E0,6.990463257E-2,9.861043854E0,9.944015410E0
2.298301542E0,1.291514282E0,8.412506104E-2,9.828411713E0,9.913261974E0
2.308333542E0,1.243613892E0,1.041833496E-1,9.772128754E0,9.851493798E0
2.318364542E0,1.214574280E0,9.325607300E-2,9.763147430E0,9.838848262E0
2.328396542E0,1.196761322E0,4.700225830E-2,9.814939728E0,9.887744370E0
2.338427542E0,1.217118988E0,3.068618774E-2,9.824070740E0,9.899226544E0
2.348459542E0,1.229393463E0,3.607498169E-2,9.730215912E0,9.807640460E0
2.358490542E0,1.217717743E0,8.831634521E-3,9.723629608E0,9.799586076E0
2.368522542E0,1.254690857E0,-2.679428101E-2,9.840087433E0,9.919792728E0
2.378553542E0,1.340612183E0,-8.876541138E-2,9.944869537E0,1.003521552E1
2.388585542E0,1.389710083E0,-5.852828979E-2,9.854158173E0,9.951841687E0
2.398616542E0,1.324445801E0,-5.957611084E-2,9.718091125E0,9.808108947E0
2.408648542E0,1.257235565E0,-8.771759033E-2,9.717642059E0,9.799025606E0
2.418679542E0,1.251547394E0,-8.577163696E-2,9.734407196E0,9.814907596E0
2.428711542E0,1.296154633E0,-9.460327148E-2,9.759405212E0,9.845555175E0
2.438742542E0,1.342707825E0,-6.541397095E-2,9.780511322E0,9.872463979E0
2.448774542E0,1.336420898E0,-1.706451416E-2,9.770182800E0,9.861175587E0
2.458805542E0,1.298399963E0,3.068618774E-2,9.759405212E0,9.845444338E0
2.468837542E0,1.276096344E0,6.646179199E-2,9.744586029E0,9.828010782E0
2.478869542E0,1.283880157E0,1.098715210E-1,9.765392761E0,9.850041411E0
2.488900542E0,1.294058990E0,1.306782532E-1,9.806706848E0,9.892581295E0
2.498932542E0,1.289418640E0,1.365161133E-1,9.845625916E0,9.930638788E0
2.508963542E0,1.272054749E0,1.428030396E-1,9.830657043E0,9.913643825E0
2.518995542E0,1.254092102E0,1.101708984E-1,9.838291168E0,9.918510863E0
2.529026542E0,1.234333191E0,8.966354370E-2,9.819280701E0,9.896963749E0
2.539058542E0,1.252445526E0,9.325607300E-2,9.820927277E0,9.900905467E0
2.549089542E0,1.266366577E0,7.664062500E-2,9.793234863E0,9.875069984E0
2.559121542E0,1.274898834E0,5.912704468E-2,9.751172333E0,9.834339068E0
2.569152542E0,1.276545410E0,3.457809448E-2,9.750872955E0,9.834138865E0
2.579184542E0,1.248403931E0,1.227447510E-2,9.782457275E0,9.861801731E0
2.589215542E0,1.262175293E0,-1.841171265E-2,9.808802490E0,9.889693208E0
2.599247542E0,1.263372803E0,-1.511856079E-2,9.795330505E0,9.876479085E0
2.609278542E0,1.268162842E0,-4.340972900E-3,9.778116302E0,9.860010865E0
2.619310542E0,1.282233582E0,-5.538482666E-3,9.783654785E0,9.867322564E0
2.629341542E0,1.276844788E0,2.245330811E-3,9.773176575E0,9.856232445E0
2.639373542E0,1.280287628E0,1.287322998E-2,9.784103851E0,9.867521994E0
2.649404542E0,1.280437317E0,3.742218018E-2,9.756710815E0,9.840443388E0
2.659436542E0,1.273551636E0,5.987548828E-2,9.761949921E0,9.844855768E0
2.669467542E0,1.268911285E0,7.679031372E-2,9.853858795E0,9.935520407E0
2.679499542E0,1.238225098E0,9.879455566E-2,9.781259766E0,9.859817664E0
2.689530542E0,1.227297821E0,1.369651794E-1,9.727072449E0,9.805149556E0
2.699562542E0,1.232536926E0,9.984237671E-2,9.747130737E0,9.825256912E0
2.709593542E0,1.270557861E0,7.274871826E-2,9.818681946E0,9.900814351E0
2.719625542E0,1.292113037E0,6.047424316E-2,9.841584320E0,9.926227640E0
2.729656542E0,1.285826111E0,3.891906738E-2,9.833052063E0,9.916843064E0
2.739688542E0,1.279539185E0,3.203338623E-2,9.824669495E0,9.907692836E0
2.749720542E0,1.305585022E0,4.760101318E-2,9.823172607E0,9.909668924E0
2.759751542E0,1.318308563E0,5.882766724E-2,9.805808716E0,9.894204502E0
2.769783542E0,1.306183777E0,7.454498291E-2,9.778116302E0,9.865253744E0
2.779814542E0,1.286275177E0,7.978408813E-2,9.763596497E0,9.848283398E0
2.789846542E0,1.272204437E0,8.532257080E-2,9.775721283E0,9.858524772E0
2.799877542E0,1.284628601E0,7.529342651E-2,9.800419922E0,9.884541992E0
2.809909542E0,1.284628601E0,7.529342651E-2,9.814041595E0,9.898047897E0
2.819940542E0,1.302291870E0,5.748046875E-2,9.805958405E0,9.892223630E0
2.829972542E0,1.314117279E0,6.960525513E-2,9.806407471E0,9.894310314E0
2.840003542E0,1.303190002E0,5.598358154E-2,9.799821167E0,9.886249706E0
2.850035542E0,1.272952881E0,4.819976807E-2,9.762398987E0,9.845159533E0
2.860066542E0,1.233285370E0,5.643264771E-2,9.761051788E0,9.838816467E0
2.870098542E0,1.206940155E0,4.146377563E-2,9.752519531E0,9.827006716E0
2.880129542E0,1.215622101E0,3.592529297E-2,9.771380310E0,9.846771089E0
2.890161542E0,1.241967316E0,4.849914551E-2,9.794432373E0,9.872980325E0
2.900192542E0,1.244661713E0,2.993774414E-2,9.788145447E0,9.867009189E0
2.910224542E0,1.253193970E0,3.278182983E-2,9.802216187E0,9.882055046E0
2.920255542E0,1.265767822E0,4.131408691E-2,9.801617432E0,9.883095634E0
2.930288250E0,1.266067200E0,5.658233643E-2,9.799821167E0,9.881428167E0
2.940319250E0,1.277293854E0,6.960525513E-2,9.812245331E0,9.895275788E0
2.950351250E0,1.265618134E0,7.694000244E-2,9.797725525E0,9.879429866E0
2.960382250E0,1.253193970E0,8.202941895E-2,9.788744202E0,9.868978518E0
2.970414250E0,1.238524475E0,8.277786255E-2,9.786648560E0,9.865053729E0
2.980445250E0,1.252445526E0,8.397537231E-2,9.796528015E0,9.876620516E0
2.990477250E0,1.244811401E0,9.280700684E-2,9.815089417E0,9.894147200E0
3.000509250E0,1.269210663E0,6.810836792E-2,9.837991791E0,9.919758915E0
3.010540250E0,1.260977783E0,7.978408813E-2,9.798174591E0,9.879304418E0
3.020572250E0,1.246308289E0,9.101074219E-2,9.774673462E0,9.854227955E0
3.030603250E0,1.227148132E0,7.185058594E-2,9.759704590E0,9.836812935E0
3.040635250E0,1.228645020E0,6.616241455E-2,9.786049805E0,9.863098744E0
3.050666250E0,1.231938171E0,5.508544922E-2,9.816735992E0,9.893887588E0
3.060698250E0,1.265917511E0,7.185058594E-2,9.802814941E0,9.884477246E0
3.070729250E0,1.257834320E0,8.951385498E-2,9.765243073E0,9.846325821E0
3.080761250E0,1.231189728E0,9.190887451E-2,9.754465485E0,9.832287235E0
3.090792250E0,1.227896576E0,7.319778442E-2,9.811347198E0,9.888155630E0
3.100824250E0,1.224154358E0,6.062393188E-2,9.796528015E0,9.872901818E0
3.110855250E0,1.210832062E0,8.816665649E-2,9.687105560E0,9.762883886E0
3.120887250E0,1.220711517E0,7.858657837E-2,9.719887390E0,9.796556708E0
3.130918250E0,1.253343658E0,3.143463135E-2,9.902956696E0,9.982004297E0
3.140950250E0,1.337468719E0,5.673202515E-2,9.911039886E0,1.000103758E1
3.150981250E0,1.369651794E0,5.957611084E-2,9.874665527E0,9.969378849E0
3.161013250E0,1.310375061E0,8.921447754E-2,9.719288635E0,9.807630376E0
3.171044250E0,1.230291595E0,7.200027466E-2,9.704170074E0,9.782112159E0
3.181076250E0,1.237027588E0,3.966751099E-2,9.762249298E0,9.840392376E0
3.191107250E0,1.274599457E0,3.143463135E-2,9.861941986E0,9.944017883E0
3.201139250E0,1.308878174E0,5.328918457E-2,9.892029419E0,9.978389040E0
3.211170250E0,1.305884399E0,9.669891357E-2,9.822573853E0,9.909472329E0
3.221202250E0,1.266216888E0,1.472937012E-1,9.740095367E0,9.823159289E0
3.231233250E0,1.252146149E0,1.791773987E-1,9.728868713E0,9.810752314E0
3.241265250E0,1.259331207E0,1.953437805E-1,9.772727509E0,9.855469407E0
3.251297250E0,1.270557861E0,1.809736633E-1,9.809700623E0,9.893295460E0
3.261328250E0,1.268761597E0,1.498384094E-1,9.835447083E0,9.918075764E0
3.271360250E0,1.276844788E0,1.196012878E-1,9.854008484E0,9.937108245E0
3.281391250E0,1.273102570E0,1.001417542E-1,9.839338989E0,9.921865262E0
3.291423250E0,1.257684631E0,8.771759033E-2,9.816885681E0,9.897510267E0
3.301454250E0,1.246008911E0,4.879852295E-2,9.777966614E0,9.857157329E0
3.311486250E0,1.223405914E0,3.218307495E-2,9.762249298E0,9.838661959E0
